alias_ad_system_domain,main_ad_system_domain
152media.com,152media.info
1rx.io,video.unrulymedia.com
33across.co.uk,33across.com
ad.yieldlab.net,yieldlab.net
ad6media.es,ad6media.fr
admix.in,admixplay.com
admixer.com,admixer.net
adnetmedia.lt,digitalmatter.ai
ads.counciladvertising.net,can-digital.net
ads.jinkads.com,jink.de
adtdp.com,as.amanad.adtdp.com
airnowplatform.com,airnow.com
aja.vision,as.amanad.adtdp.com
amazon-adsystem.com,aps.amazon.com
amazon.com,aps.amazon.com
aol.co.uk,yahoo.com
aol.com,yahoo.com
aol.de,yahoo.com
app.orka.tv,orka.tv
applaudmedia.tagdeliver.com,contentignite.com
ayads.co,sublime.xyz
bidsxchange.com,streamlyn.com
browsi.com,avantisvideo.com
c.amazon-adsystem.com,aps.amazon.com
carambola.com,carambo.la
cignal.io,cgnl.io
criteo.net,criteo.com
dailymotion.com,nsightvideo.com
dblks.net,datablocks.net
deployads.com,sortable.com
digitalturbine.com,fyber.com
dyntrk.com,dynadmic.com
e-volution.ai,ssp.e-volution.ai
emxdigital.com,emxdgt.com
esmg.se,everysportgroup.com
fatchilli.media,fatchillimedia.com
freestar.io,freestar.com
freewheel.com,freewheel.tv
fridaymedia.tagdeliver.com,contentignite.com
gemius.com,adocean-global.com
gobrowsi.com,avantisvideo.com
good.ad,gingerad.com
headerbidding.agency,hbagency.it
hyperaudience.com,hyperad.tech
hyprmx.com,jungroup.com
interdogltd.com,interdogmedia.com
liftoff.io,vungle.com
lkqd.com,lkqd.net
lockerdome.com,decide.co
m32.media,m32connect.com
mcanvas.com,affinity.com
media.sabio.us,sabio.us
medialinkstarx.com,medialink-x.com
membrana.media,notsy.io
metalogica.co,adreact.com
metaxads.com,metaxsoft.com
missena.io,missena.com
mobusi.tagdeliver.com,contentignite.com
movve.com,vidoomy.com
nglmedia.com,nglcollective.com
oko.uk,insticator.com
onetag-sys.com,onetag.com
openweb.market,spotim.market
ortb.tech,xtrmqb.com
pepsia.com,fabster.com
platform.33across.com,33across.com
postquare.com,engageya.com
powerlinks.tagdeliver.com,contentignite.com
ppnet.gr,adweb.gr
prebidaio.reworldmediafactory.com,reworldmedia.com
premiumads.net,premiumads.com.br
publisher1st.com,adsinteractive.hu
pulsepoint.com,contextweb.com
r2b2.io,r2b2.cz
rhythmone.com,video.unrulymedia.com
rtb.bidsxchange.com,streamlyn.com
rtb.gamoshi.io,gamoshi.io
rtb.xendiz.com,rtb.xe.works
sekindo.com,primis.tech
sendtonews.com,stnvideo.com
shemedia.com,pmc.com
soundcast.io,soundcast.fm
sovrn.com,lijit.com
spot.im,spotim.market
spotxchange.com,spotx.tv
ssp.smartyads.com,smartyads.com
startapp.com,start.io
symplr.de,mso-digital.de
synacor.com,imds.tv
tagdeliver.com,contentignite.com
tpmn.co.kr,tpmn.io
tremorhub.com,telaria.com
unity3d.com,unity.com
unrulymedia.com,video.unrulymedia.com
veedly.tv,adplay.it
venatusmedia.com,venatus.com
verticalintelligence.tagdeliver.com,contentignite.com
vertoz.com,incrementx.com
viads.co,viads.com
wmgroup.us,adwmg.com
xandr.com,appnexus.com
yaoo.com,yahoo.com
